Starters,Alize Johnson,Brandon Ingram,CJ McCollum,Daulton Hommes,Derrick Favors,Devonte' Graham,Didi Louzada,E'Twaun Moore,Eric Bledsoe,Feron Hunt,Frank Jackson,Garrett Temple,Gary Clark,Herbert Jones,Isaiah Thomas,J.J. Redick,Jahlil Okafor,James Johnson,James Nunnally,Jared Harper,Jaxson Hayes,Jonas Valančiūnas,Jose Alvarado,Josh Gray,Josh Hart,Jrue Holiday,Justin James,Kenrich Williams,Kira Lewis Jr.,Larry Nance Jr.,Lonzo Ball,Miye Oni,Naji Marshall,Nickeil Alexander-Walker,Nicolò Melli,Sindarius Thornwell,Steven Adams,Tomáš Satoranský,Tony Snell,Trey Murphy III,Tyrone Wallace,Wenyen Gabriel,Wes Iwundu,Will Magnay,Willy Hernangómez,Zion Williamson,Zylan Cheatham
Jahlil Okafor,-0.026903099985900656,-0.05044908088902719,-0.11419060388233782,,0.054793141676549716,-0.1759964085806393,-0.02419137168103969,0.3693940758588682,-0.166749254654738,,0.5419004222654842,-0.11499346334610495,-0.06985459877435672,-0.18048195780968795,-0.02937244037513232,0.16811902842970258,1.0,-0.08149885370057042,-0.03752700879993498,-0.03763277881113935,0.03156618070563016,-0.1961510821718046,-0.12666861180265757,-0.019100318275715098,0.11526502454992532,0.21194391090518813,,0.25414819221360435,-0.1511060242500226,-0.07010387211364967,0.11888011188165527,,-0.1580699809846664,-0.057535897600944415,0.2918901202101238,0.25246781185670364,-0.14487906762038663,-0.08335203571164632,-0.06514293755573634,-0.12166027612435287,-0.03583240435046768,-0.05511898061097047,-0.051734269098268136,,-0.18581327760568353,-0.20036922348149974,0.22057103785420296
James Johnson,-0.02579388128985086,-0.2500104008197102,-0.10948250880013968,,-0.12561335468885884,-0.168740051248675,0.15144965601755056,-0.12582849296967952,0.4428275031822254,,-0.10121176909650235,-0.11025226625231792,-0.06697448358294082,-0.17304066063549278,0.19452345741418897,-0.17958966790080455,-0.08149885370057042,1.0,0.08350155318247468,-0.03608117390822859,0.22617150593108207,-0.18806374473822288,-0.12144604665262608,-0.018312809395956746,-0.23796263785954616,-0.15200246858211724,,-0.07702779485701484,0.2875201608103637,-0.0672134793464706,0.07844613461974222,,0.45991514716269,0.08120917240337164,-0.13626360890100558,-0.04490404914177178,0.12707430220216817,-0.07991541924686633,-0.062457084836521994,-0.11664420537732244,-0.03435502914646575,0.3620764418005743,0.479020463122644,,0.25976401799452153,0.06020398063809833,-0.025953978533235868
James Nunnally,-0.011877065335238406,0.00034626402564929285,-0.05041237863635185,,-0.0578399971626247,-0.07769814053306344,0.11427496359385993,-0.057939059858490585,0.2488364719820286,,-0.04660402910077804,-0.05076682159315509,-0.030839109026272453,-0.07967840159166857,-0.012967219152204394,-0.08269396122369901,-0.03752700879993498,0.08350155318247468,1.0,-0.0166139579795906,0.06229040014047867,-0.08659593949222158,-0.05592111612017081,-0.008432326691102787,-0.1317477815349513,-0.06999114364295692,,-0.03546826248696733,0.1461547573480022,-0.030949157152275336,0.00838269655659832,,0.11413146971816762,-0.05799871306943801,-0.06274401931009171,-0.020676544157138096,0.14561986413898642,-0.0367978996655097,-0.028759025015121658,-0.053710057539441976,-0.015819136375072953,0.47126249095412726,0.10542677889489195,,0.21448379854614177,0.1102011861367776,-0.011950783803518047
Jared Harper,-0.011910540887214363,-0.21181638296192914,0.09694956792051802,,-0.0580030194056329,0.07182645312577085,-0.010710004485573294,-0.05810236131006858,-0.07382323288091845,,-0.04673538272681413,0.1731150613000677,0.46094431324707075,0.1050792839895012,-0.013003767306690435,-0.08292703445508283,-0.03763277881113935,-0.03608117390822859,-0.0166139579795906,1.0,0.05484472719278046,0.03328645650100213,0.2319700628244347,-0.008456093234643526,-0.13211911313783503,-0.07018841393664843,,-0.0355682299141782,-0.06689766164782167,0.24521542167988028,-0.1064204747737706,,0.13695982475305155,-0.10208704850109908,-0.062920863557413,-0.02073482107227484,-0.06414086330194116,0.018790809932239517,0.3939824528799874,0.2706826760079396,-0.0158637226686557,-0.02440227604151919,-0.02290379650255921,,0.16898402298076315,-0.09287882623498415,-0.011984467131265797
Jaxson Hayes,-0.05338379345785729,-0.30633462798536815,0.14023364138488836,,-0.12533409839703413,0.0623385155341071,0.1649623942117682,-0.022695026025414698,-0.04500521856432623,,0.042650585409705295,0.03581488155221847,0.07916352205770531,0.17959219903077747,0.06930491396264739,-0.09626730228332026,0.03156618070563016,0.22617150593108207,0.06229040014047867,0.05484472719278046,1.0,0.03121446734924155,0.15192593863878492,0.059859108058932485,-0.1966054366379391,-0.11016451716141315,,0.09903219661930875,-0.031132491937311248,0.08383223257206723,-0.1810716771718909,,0.25614816747683117,0.0697137567150246,-0.09248739475284116,0.04130434325134182,-0.1558373725033773,-0.13320531643947175,0.1395919844146684,0.14789062361309258,0.22492461560483581,0.23527392455239876,0.10557299788751064,,0.12499423869390508,-0.28290086246584206,0.08483580929549739
Jonas Valančiūnas,0.005596364351043138,-0.14126944270695285,0.4329965400520917,,-0.3023256688735236,0.6572962517777322,-0.055823115812225016,-0.30284346274035073,-0.38478442136000474,,-0.24359604013255978,0.32527294239701177,0.14127928462712624,0.6760570589968196,-0.06777875857423125,-0.43223562180447306,-0.1961510821718046,-0.18806374473822288,-0.08659593949222158,0.03328645650100213,0.03121446734924155,1.0,0.42465617714756093,-0.04407518900597454,-0.10765746624606644,-0.3658388719761759,,-0.18539015743733692,-0.05228759673847953,0.1511578365156358,-0.5546890756292877,,0.16747462737338756,0.09586199193800561,-0.3279586538084124,-0.10807486772041296,-0.33431758550834045,0.24834304381474454,0.1697884495464691,0.394973237588003,0.256927780403468,-0.12719052390524688,-0.11938008862874516,,0.05586780374426064,-0.4841067508798072,-0.06246592123445259
Jose Alvarado,0.10541386597147931,-0.21239741959922728,0.5228782673202373,,-0.19523304365446867,0.29145710899100385,-0.03604892977465281,-0.19556741973633726,-0.2484824858333958,,-0.15730717313703002,0.07994072546315832,0.27602223697054395,0.4292170479718061,-0.043769532970435246,-0.2791250783805321,-0.12666861180265757,-0.12144604665262608,-0.05592111612017081,0.2319700628244347,0.15192593863878492,0.42465617714756093,1.0,-0.028462463446602734,-0.27604372002450683,-0.23624800609605578,,-0.11971952244390506,-0.19450182650115888,0.350517028654723,-0.3582019248332291,,0.32379062047123075,-0.16393052921095996,-0.2117860729934398,-0.06979157756014853,-0.2158924844496472,-0.04792480897536569,0.19577580229116542,0.3525424599056575,0.32901689814550333,-0.08213590727691754,-0.07709215741280799,,0.19359049097965472,-0.3126219311119086,-0.040338658548984704
Josh Gray,-0.0060451321685119335,-0.1075062872951083,-0.02565865246877476,,0.0005772377722341868,-0.03954642965349611,-0.005435806253782018,0.23705545595456895,-0.037468592240932415,,-0.02372029685342503,-0.025839055157452148,-0.015696342889505895,-0.04055433349923049,-0.0065999934681306785,-0.042089178683887965,-0.019100318275715098,-0.018312809395956746,-0.008432326691102787,-0.008456093234643526,0.059859108058932485,-0.04407518900597454,-0.028462463446602734,1.0,-0.06705635860434789,0.06437918412691335,,0.19937357355201726,-0.033953555111807865,-0.015752354660747953,-0.05401315032920343,,-0.03551835764009582,0.17969914722335373,0.13867730488430627,-0.01052384900562339,-0.032554356660571125,-0.018729219779709334,-0.014637631632634407,-0.027337089376867536,-0.00805154871846221,-0.012385246419988295,-0.011624701038329929,,-0.04175228216746158,-0.04714015808043189,0.2311408156540946
Josh Hart,-0.09444994026706284,0.05419772432549311,-0.4008941616913659,,0.14014989325501676,0.050126544402599296,-0.08492975201556575,0.03149813879205814,-0.13521403438370805,,0.11116844090720261,0.20829564562544,-0.08012848480948635,-0.09841779027075957,-0.10311916620698071,0.20688221742254587,0.11526502454992532,-0.23796263785954616,-0.1317477815349513,-0.13211911313783503,-0.1966054366379391,-0.10765746624606644,-0.27604372002450683,-0.06705635860434789,1.0,0.10117965390860853,,0.06132899571410455,-0.07766393939284513,-0.24611686151759862,0.10645295980681344,,-0.4437383361788398,0.17846298299390503,0.1171723725198371,0.10392292724554063,0.005142739753933072,0.1624654309496061,-0.22870028227917302,-0.2628050613837726,-0.1257984563972401,-0.19120504417366652,-0.13077061798193193,,-0.16956375936459187,-0.0017800894350020213,0.138028725062311
Jrue Holiday,-0.05017662733506411,0.05484746086181612,-0.21297543328362917,,0.5427927050738568,-0.3282486483077603,-0.04511901759275697,0.5192392453310836,-0.31100189991470917,,0.33570105722405164,-0.21447283619024532,-0.13028491780420298,-0.33661458874499667,-0.05478216247929773,0.583019346244396,0.21194391090518813,-0.15200246858211724,-0.06999114364295692,-0.07018841393664843,-0.11016451716141315,-0.3658388719761759,-0.23624800609605578,0.06437918412691335,0.10117965390860853,1.0,,0.33927904659653857,-0.28182591117195066,-0.13074983431779535,0.22603768750300057,,-0.294814297716061,-0.27772630854411207,0.5310971001620649,-0.08735148131850246,-0.2702120940876516,-0.15545881462411745,-0.12149725879019761,-0.22690702334570703,-0.06683055858079602,-0.10280170503230944,-0.09648892292546764,,-0.34655796503798547,-0.06288619328577423,-0.026866398669184548
