,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
709,Jalen Brunson,Dallas Mavericks,31:18,6,10,0.6,1,2,0.5,2,2,1.0,0,4,4,4,0,0,2,1,15,6,31:18,0.689,0.65,0.2,0.2,0.0,14.6,7.0,18.7,0.0,0.0,15.5,17.4,128.0,127.0,20200207
710,Kristaps Porziņģis,Dallas Mavericks,21:16,3,9,0.333,2,6,0.333,3,4,0.75,1,8,9,2,2,1,3,5,11,-3,21:16,0.511,0.444,0.667,0.444,4.9,43.0,23.1,12.8,4.6,4.3,21.8,27.4,94.0,106.0,20200207
711,Courtney Lee,Dallas Mavericks,17:15,4,6,0.667,3,5,0.6,0,0,0.0,1,1,2,0,0,0,0,3,11,1,17:15,0.917,0.917,0.833,0.0,6.0,6.6,6.3,0.0,0.0,0.0,0.0,14.7,179.0,128.0,20200207
712,Seth Curry,Dallas Mavericks,28:57,6,18,0.333,4,9,0.444,4,4,1.0,2,1,3,3,2,0,3,3,20,-4,28:57,0.506,0.444,0.5,0.222,7.2,3.9,5.7,15.5,3.4,0.0,13.2,33.3,105.0,121.0,20200207
713,Maxi Kleber,Dallas Mavericks,26:15,3,4,0.75,1,1,1.0,0,0,0.0,3,4,7,2,0,1,0,3,7,-6,26:15,0.875,0.875,0.25,0.0,11.9,17.4,14.5,10.0,0.0,3.5,0.0,6.5,196.0,123.0,20200207
714,Delon Wright,Dallas Mavericks,19:20,4,7,0.571,0,0,0.0,2,3,0.667,2,2,4,6,0,0,1,0,10,-3,19:20,0.601,0.571,0.0,0.429,10.8,11.8,11.3,46.5,0.0,0.0,10.7,20.4,141.0,127.0,20200207
715,Justin Jackson,Dallas Mavericks,11:52,2,6,0.333,1,3,0.333,2,2,1.0,1,2,3,0,0,0,1,0,7,-10,11:52,0.509,0.417,0.5,0.333,8.8,19.3,13.8,0.0,0.0,0.0,12.7,28.1,103.0,126.0,20200207
716,Willie Cauley-Stein,Dallas Mavericks,8:49,3,5,0.6,0,0,0.0,0,0,0.0,0,5,5,1,1,0,0,0,6,2,8:49,0.6,0.6,0.0,0.0,0.0,64.8,30.9,21.2,5.6,0.0,0.0,24.0,131.0,104.0,20200207
717,Ryan Broekhoff,Dallas Mavericks,5:16,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-1,5:16,0.0,0.0,1.0,0.0,19.8,21.7,20.7,0.0,0.0,0.0,0.0,16.1,42.0,125.0,20200207
718,Boban Marjanović,Dallas Mavericks,0:00,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200207
719,J.J. Barea,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200207
720,Team Totals,Dallas Mavericks,240,42,91,0.462,16,40,0.4,18,21,0.857,15,34,49,27,7,2,13,21,118,0,240,0.589,0.549,0.44,0.231,32.6,81.0,55.7,64.3,7.2,3.8,11.5,100.0,121.4,122.5,20200207
721,Dorian Finney-Smith,Dallas Mavericks,31:32,6,10,0.6,1,3,0.333,0,0,0.0,1,1,2,3,1,0,3,3,13,13,31:32,0.65,0.65,0.3,0.0,4.0,3.2,3.6,13.1,1.7,0.0,23.1,19.4,108.0,116.0,20200208
722,Maxi Kleber,Dallas Mavericks,27:30,1,5,0.2,1,4,0.25,4,4,1.0,1,4,5,1,0,2,0,1,7,9,27:30,0.518,0.3,0.8,0.8,4.6,14.9,10.3,4.1,0.0,6.8,0.0,11.6,135.0,111.0,20200208
723,Jalen Brunson,Dallas Mavericks,27:16,4,11,0.364,3,4,0.75,2,2,1.0,0,4,4,4,0,0,3,3,13,8,27:16,0.547,0.5,0.364,0.182,0.0,15.0,8.3,19.1,0.0,0.0,20.2,25.7,102.0,115.0,20200208
724,Tim Hardaway Jr.,Dallas Mavericks,26:06,5,11,0.455,3,4,0.75,1,1,1.0,1,1,2,5,0,0,0,2,14,10,26:06,0.612,0.591,0.364,0.091,4.8,3.9,4.3,26.4,0.0,0.0,0.0,20.7,148.0,119.0,20200208
725,Willie Cauley-Stein,Dallas Mavericks,25:03,7,7,1.0,0,0,0.0,1,1,1.0,2,8,10,1,0,2,0,3,15,25,25:03,1.008,1.0,0.0,0.143,10.1,32.6,22.5,6.3,0.0,7.5,0.0,14.0,211.0,104.0,20200208
726,Seth Curry,Dallas Mavericks,27:31,10,14,0.714,6,8,0.75,0,0,0.0,0,6,6,3,1,1,0,0,26,20,27:31,0.929,0.929,0.571,0.0,0.0,22.3,12.3,19.7,2.0,3.4,0.0,24.0,182.0,107.0,20200208
727,Delon Wright,Dallas Mavericks,24:06,2,6,0.333,0,2,0.0,0,0,0.0,0,2,2,7,0,0,2,1,4,2,24:06,0.333,0.333,0.333,0.0,0.0,8.5,4.7,34.8,0.0,0.0,25.0,15.6,97.0,118.0,20200208
728,Courtney Lee,Dallas Mavericks,16:29,2,5,0.4,1,3,0.333,0,0,0.0,0,0,0,1,2,1,0,1,5,2,16:29,0.5,0.5,0.6,0.0,0.0,0.0,0.0,7.6,6.5,5.7,0.0,14.3,116.0,103.0,20200208
729,Ryan Broekhoff,Dallas Mavericks,15:46,2,6,0.333,2,6,0.333,0,0,0.0,2,7,9,4,1,0,1,0,6,6,15:46,0.5,0.5,1.0,0.0,16.0,45.3,32.2,32.1,3.4,0.0,14.3,20.9,127.0,97.0,20200208
730,Boban Marjanović,Dallas Mavericks,12:55,4,7,0.571,0,0,0.0,3,3,1.0,4,2,6,0,0,0,1,3,11,-4,12:55,0.661,0.571,0.0,0.429,39.1,15.8,26.2,0.0,0.0,0.0,10.7,34.0,138.0,115.0,20200208
731,Justin Jackson,Dallas Mavericks,3:22,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-6,3:22,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,120.0,20200208
732,Antonius Cleveland,Dallas Mavericks,2:24,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,2:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,121.0,20200208
733,J.J. Barea,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200208
734,Team Totals,Dallas Mavericks,240,44,87,0.506,17,35,0.486,11,11,1.0,11,35,46,29,5,6,10,18,116,0,240,0.632,0.603,0.402,0.126,28.9,74.5,54.1,65.9,5.6,11.8,9.8,100.0,129.7,111.8,20200208
735,Tim Hardaway Jr.,Dallas Mavericks,37:01,12,18,0.667,5,10,0.5,4,5,0.8,0,3,3,3,1,0,0,0,33,12,37:01,0.817,0.806,0.556,0.278,0.0,12.2,5.5,16.6,1.3,0.0,0.0,25.3,158.0,129.0,20200210
736,Kristaps Porziņģis,Dallas Mavericks,35:17,7,17,0.412,3,9,0.333,11,13,0.846,1,4,5,1,1,2,1,4,28,11,35:17,0.616,0.5,0.529,0.765,3.5,17.0,9.6,4.6,1.4,6.3,4.2,31.1,122.0,124.0,20200210
737,Dorian Finney-Smith,Dallas Mavericks,35:09,3,10,0.3,3,10,0.3,0,0,0.0,0,5,5,2,2,1,2,5,9,5,35:09,0.45,0.45,1.0,0.0,0.0,21.3,9.6,7.8,2.8,3.2,16.7,15.8,78.0,122.0,20200210
738,Jalen Brunson,Dallas Mavericks,25:34,3,7,0.429,0,2,0.0,2,2,1.0,1,1,2,6,0,0,0,1,8,-14,25:34,0.508,0.429,0.286,0.286,4.8,5.9,5.3,33.8,0.0,0.0,0.0,14.3,135.0,133.0,20200210
739,Maxi Kleber,Dallas Mavericks,22:48,2,8,0.25,1,4,0.25,0,0,0.0,0,2,2,1,0,0,0,2,5,-31,22:48,0.313,0.313,0.5,0.0,0.0,13.2,5.9,6.1,0.0,0.0,0.0,16.3,68.0,131.0,20200210
740,Seth Curry,Dallas Mavericks,34:38,5,7,0.714,2,4,0.5,3,3,1.0,0,3,3,2,1,0,1,2,15,17,34:38,0.901,0.857,0.571,0.429,0.0,13.0,5.9,8.6,1.4,0.0,10.7,12.5,157.0,128.0,20200210
741,J.J. Barea,Dallas Mavericks,16:02,3,7,0.429,1,2,0.5,4,4,1.0,0,3,3,6,0,0,1,1,11,1,16:02,0.628,0.5,0.286,0.571,0.0,28.1,12.6,59.8,0.0,0.0,10.2,28.2,134.0,129.0,20200210
742,Courtney Lee,Dallas Mavericks,15:31,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,0,2,0,1,2,0,-10,15:31,0.0,0.0,1.0,0.0,7.9,0.0,4.4,0.0,6.4,0.0,50.0,6.0,45.0,119.0,20200210
743,Delon Wright,Dallas Mavericks,13:15,1,5,0.2,0,1,0.0,0,1,0.0,1,0,1,3,1,0,1,0,2,-8,13:15,0.184,0.2,0.2,0.2,9.3,0.0,5.1,30.7,3.7,0.0,15.5,22.5,68.0,125.0,20200210
744,Willie Cauley-Stein,Dallas Mavericks,4:45,3,3,1.0,0,0,0.0,2,3,0.667,0,1,1,0,0,0,0,1,8,-3,4:45,0.926,1.0,0.0,1.0,0.0,31.6,14.2,0.0,0.0,0.0,0.0,42.1,185.0,128.0,20200210
745,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200210
746,Justin Jackson,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200210
747,Ryan Broekhoff,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200210
748,Team Totals,Dallas Mavericks,240,39,83,0.47,15,43,0.349,26,31,0.839,4,22,26,24,8,3,7,18,119,0,240,0.616,0.56,0.518,0.373,10.3,68.8,36.6,61.5,8.2,7.0,6.8,100.0,122.5,126.6,20200210
749,Tim Hardaway Jr.,Dallas Mavericks,33:04,7,14,0.5,5,11,0.455,0,0,0.0,0,3,3,6,1,0,0,1,19,27,33:04,0.679,0.679,0.786,0.0,0.0,8.1,5.0,23.0,1.4,0.0,0.0,19.3,139.0,112.0,20200212
750,Kristaps Porziņģis,Dallas Mavericks,32:57,11,16,0.688,2,5,0.4,3,4,0.75,0,13,13,5,0,3,1,2,27,27,32:57,0.76,0.75,0.313,0.25,0.0,35.1,21.8,22.8,0.0,7.3,5.3,26.0,144.0,101.0,20200212
751,Luka Dončić,Dallas Mavericks,31:16,10,18,0.556,3,7,0.429,10,12,0.833,1,11,12,8,0,0,4,3,33,30,31:16,0.709,0.639,0.389,0.667,4.7,31.3,21.2,37.6,0.0,0.0,14.7,39.8,130.0,108.0,20200212
752,Dorian Finney-Smith,Dallas Mavericks,22:06,2,4,0.5,1,2,0.5,0,0,0.0,1,5,6,1,0,1,1,3,5,13,22:06,0.625,0.625,0.5,0.0,6.6,20.1,15.0,5.0,0.0,3.6,20.0,10.3,110.0,108.0,20200212
753,Jalen Brunson,Dallas Mavericks,14:14,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,2,0,0,2,1,5,-5,14:14,0.625,0.625,0.5,0.0,0.0,0.0,0.0,16.3,0.0,0.0,33.3,19.2,89.0,117.0,20200212
754,Seth Curry,Dallas Mavericks,34:14,7,10,0.7,3,3,1.0,1,1,1.0,0,3,3,6,0,0,0,2,18,3,34:14,0.862,0.85,0.3,0.1,0.0,7.8,4.8,22.0,0.0,0.0,0.0,13.9,175.0,115.0,20200212
755,Delon Wright,Dallas Mavericks,26:06,1,5,0.2,1,4,0.25,3,4,0.75,0,4,4,4,0,1,1,3,6,2,26:06,0.444,0.3,0.8,0.8,0.0,13.6,8.5,15.9,0.0,3.1,12.9,13.6,104.0,111.0,20200212
756,Justin Jackson,Dallas Mavericks,20:09,2,4,0.5,0,2,0.0,0,0,0.0,1,2,3,1,0,0,0,0,4,-4,20:09,0.5,0.5,0.5,0.0,7.2,8.8,8.2,5.5,0.0,0.0,0.0,9.1,121.0,115.0,20200212
757,Maxi Kleber,Dallas Mavericks,18:30,3,5,0.6,0,2,0.0,0,0,0.0,0,1,1,0,0,2,1,2,6,4,18:30,0.6,0.6,0.4,0.0,0.0,4.8,3.0,0.0,0.0,8.6,16.7,14.8,88.0,109.0,20200212
758,Willie Cauley-Stein,Dallas Mavericks,3:42,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,4,-1,3:42,0.667,0.667,0.333,0.0,0.0,24.0,14.9,0.0,0.0,0.0,0.0,37.0,118.0,110.0,20200212
759,Boban Marjanović,Dallas Mavericks,3:42,1,2,0.5,1,1,1.0,0,0,0.0,0,1,1,1,0,0,1,0,3,-1,3:42,0.75,0.75,0.5,0.0,0.0,24.0,14.9,37.0,0.0,0.0,33.3,37.0,101.0,110.0,20200212
760,Courtney Lee,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200212
761,J.J. Barea,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200212
762,Team Totals,Dallas Mavericks,240,48,85,0.565,17,40,0.425,17,21,0.81,3,44,47,34,1,7,11,18,130,0,240,0.69,0.665,0.471,0.247,9.1,81.5,54.0,70.8,1.0,11.7,10.5,100.0,128.6,109.8,20200212
763,Dorian Finney-Smith,Dallas Mavericks,35:35,2,6,0.333,1,4,0.25,0,0,0.0,2,5,7,1,1,0,0,1,5,14,35:35,0.417,0.417,0.667,0.0,6.7,11.6,9.6,3.3,1.3,0.0,0.0,7.3,112.0,109.0,20200221
764,Luka Dončić,Dallas Mavericks,34:26,10,21,0.476,4,8,0.5,9,12,0.75,0,10,10,8,1,1,6,0,33,13,34:26,0.628,0.571,0.381,0.571,0.0,24.0,14.2,38.4,1.4,2.3,18.6,40.7,113.0,101.0,20200221
765,Kristaps Porziņģis,Dallas Mavericks,33:49,8,16,0.5,4,9,0.444,4,4,1.0,2,8,10,5,0,5,2,3,24,15,33:49,0.676,0.625,0.563,0.25,7.1,19.6,14.5,22.4,0.0,11.6,10.1,25.4,134.0,101.0,20200221
766,Tim Hardaway Jr.,Dallas Mavericks,32:45,5,9,0.556,3,5,0.6,3,4,0.75,1,5,6,0,0,0,1,1,16,8,32:45,0.743,0.722,0.556,0.444,3.7,12.6,9.0,0.0,0.0,0.0,8.5,15.6,134.0,111.0,20200221
767,Seth Curry,Dallas Mavericks,27:44,3,9,0.333,0,4,0.0,0,0,0.0,1,5,6,1,1,0,2,0,6,3,27:44,0.333,0.333,0.444,0.0,4.3,14.9,10.6,4.6,1.7,0.0,18.2,17.2,67.0,106.0,20200221
768,Delon Wright,Dallas Mavericks,23:36,2,3,0.667,0,1,0.0,1,1,1.0,1,4,5,4,1,0,2,2,5,18,23:36,0.727,0.667,0.333,0.333,5.1,14.0,10.4,20.9,2.0,0.0,36.8,10.0,122.0,106.0,20200221
769,Maxi Kleber,Dallas Mavericks,22:38,10,13,0.769,3,6,0.5,3,3,1.0,0,3,3,1,0,1,1,1,26,10,22:38,0.908,0.885,0.462,0.231,0.0,11.0,6.5,9.7,0.0,3.5,6.5,29.4,160.0,110.0,20200221
770,Jalen Brunson,Dallas Mavericks,19:38,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,5,1,0,1,2,4,8,19:38,0.4,0.4,0.2,0.0,0.0,4.2,2.5,32.1,2.4,0.0,16.7,13.3,105.0,109.0,20200221
771,Justin Jackson,Dallas Mavericks,5:51,1,2,0.5,0,0,0.0,1,2,0.5,1,1,2,1,1,0,0,1,3,-2,5:51,0.521,0.5,0.0,1.0,20.5,14.1,16.7,23.6,8.2,0.0,0.0,21.4,136.0,92.0,20200221
772,Michael Kidd-Gilchrist,Dallas Mavericks,3:58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-7,3:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,20200221
773,Willie Cauley-Stein,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200221
774,J.J. Barea,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200221
775,Courtney Lee,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200221
776,Team Totals,Dallas Mavericks,240,43,84,0.512,15,38,0.395,21,26,0.808,8,42,50,26,6,7,15,14,122,0,240,0.639,0.601,0.452,0.31,20.0,72.4,51.0,60.5,6.0,11.5,13.6,100.0,121.6,105.7,20200221
777,Seth Curry,Dallas Mavericks,38:29,8,17,0.471,4,9,0.444,2,2,1.0,1,5,6,5,2,0,4,2,22,-10,38:29,0.615,0.588,0.529,0.118,2.5,12.2,7.4,20.8,2.4,0.0,18.3,24.1,108.0,108.0,20200222
778,Tim Hardaway Jr.,Dallas Mavericks,35:14,11,22,0.5,6,14,0.429,5,7,0.714,0,4,4,5,0,0,2,2,33,-4,35:14,0.658,0.636,0.636,0.318,0.0,10.7,5.4,27.2,0.0,0.0,7.4,32.5,126.0,114.0,20200222
779,Dorian Finney-Smith,Dallas Mavericks,30:45,2,7,0.286,0,4,0.0,2,3,0.667,2,3,5,2,0,2,2,3,6,-8,30:45,0.361,0.286,0.571,0.429,6.2,9.2,7.7,8.5,0.0,5.1,19.4,14.2,80.0,111.0,20200222
780,Maxi Kleber,Dallas Mavericks,30:02,4,10,0.4,1,4,0.25,0,0,0.0,4,4,8,2,0,5,1,6,9,6,30:02,0.45,0.45,0.4,0.0,12.8,12.5,12.7,9.5,0.0,13.1,9.1,15.5,106.0,104.0,20200222
781,Jalen Brunson,Dallas Mavericks,0:12,1,1,1.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,1,2,2,0:12,0.694,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,140.0,90.0,20200222
782,Delon Wright,Dallas Mavericks,29:34,6,8,0.75,2,2,1.0,0,0,0.0,0,4,4,2,1,0,2,1,14,-8,29:34,0.875,0.875,0.25,0.0,0.0,12.7,6.4,10.7,1.6,0.0,20.0,14.3,131.0,110.0,20200222
783,Justin Jackson,Dallas Mavericks,26:37,3,6,0.5,1,3,0.333,3,4,0.75,0,8,8,0,0,0,0,1,10,-1,26:37,0.644,0.583,0.5,0.667,0.0,28.3,14.3,0.0,0.0,0.0,0.0,12.3,132.0,108.0,20200222
784,Courtney Lee,Dallas Mavericks,21:26,0,4,0.0,0,4,0.0,1,2,0.5,0,4,4,2,2,1,0,4,1,5,21:26,0.102,0.0,1.0,0.5,0.0,17.6,8.9,11.2,4.4,3.7,0.0,9.6,49.0,99.0,20200222
785,J.J. Barea,Dallas Mavericks,19:05,4,11,0.364,0,4,0.0,0,0,0.0,1,5,6,5,0,1,4,0,8,3,19:05,0.364,0.364,0.364,0.0,5.0,24.7,14.9,42.0,0.0,4.1,26.7,33.3,73.0,107.0,20200222
786,Michael Kidd-Gilchrist,Dallas Mavericks,4:55,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-6,4:55,0.0,0.0,0.0,0.0,19.5,0.0,9.7,0.0,0.0,0.0,50.0,17.2,34.0,116.0,20200222
787,Boban Marjanović,Dallas Mavericks,3:41,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,1,2,1,3:41,0.5,0.5,0.0,0.0,26.1,25.6,25.8,0.0,0.0,21.4,0.0,23.0,119.0,94.0,20200222
788,Team Totals,Dallas Mavericks,240,40,89,0.449,14,44,0.318,13,19,0.684,10,38,48,23,5,10,16,22,107,0,240,0.55,0.528,0.494,0.213,20.0,74.5,47.5,57.5,4.9,16.4,14.1,100.0,104.1,108.0,20200222
789,Tim Hardaway Jr.,Dallas Mavericks,27:31,8,14,0.571,3,6,0.5,4,5,0.8,0,4,4,1,1,0,1,2,23,3,27:31,0.71,0.679,0.429,0.357,0.0,14.8,7.3,4.7,1.6,0.0,5.8,23.9,138.0,113.0,20200224
790,Luka Dončić,Dallas Mavericks,25:13,7,16,0.438,1,6,0.167,5,8,0.625,2,7,9,7,2,1,3,3,20,1,25:13,0.512,0.469,0.375,0.5,7.8,28.4,17.8,35.4,3.5,3.6,13.3,34.2,112.0,103.0,20200224
791,Kristaps Porziņģis,Dallas Mavericks,25:03,5,14,0.357,1,8,0.125,4,5,0.8,1,8,9,3,0,0,0,1,15,-2,25:03,0.463,0.393,0.571,0.357,3.9,32.6,18.0,13.9,0.0,0.0,0.0,24.8,116.0,113.0,20200224
792,Seth Curry,Dallas Mavericks,24:44,7,11,0.636,5,9,0.556,0,1,0.0,1,1,2,2,0,0,1,4,19,2,24:44,0.83,0.864,0.818,0.091,4.0,4.1,4.0,10.4,0.0,0.0,8.0,19.3,151.0,118.0,20200224
793,Dorian Finney-Smith,Dallas Mavericks,24:31,3,5,0.6,1,2,0.5,1,1,1.0,2,1,3,1,0,0,0,3,8,19,24:31,0.735,0.7,0.4,0.2,8.0,4.2,6.1,4.3,0.0,0.0,0.0,8.5,168.0,118.0,20200224
794,Delon Wright,Dallas Mavericks,21:57,6,11,0.545,0,1,0.0,4,4,1.0,2,2,4,2,1,0,0,1,16,20,21:57,0.627,0.545,0.091,0.364,8.9,9.3,9.1,11.5,2.0,0.0,0.0,22.3,146.0,113.0,20200224
795,J.J. Barea,Dallas Mavericks,21:38,4,9,0.444,2,4,0.5,2,2,1.0,1,2,3,8,0,0,3,5,12,18,21:38,0.607,0.556,0.444,0.222,4.5,9.4,6.9,42.1,0.0,0.0,23.3,22.8,122.0,116.0,20200224
796,Maxi Kleber,Dallas Mavericks,20:56,4,9,0.444,2,4,0.5,1,2,0.5,4,3,7,2,1,0,1,2,11,20,20:56,0.557,0.556,0.444,0.222,18.7,14.6,16.7,11.0,2.1,0.0,9.2,19.9,127.0,111.0,20200224
797,Michael Kidd-Gilchrist,Dallas Mavericks,20:49,1,2,0.5,0,0,0.0,0,0,0.0,0,6,6,0,0,2,0,4,2,1,20:49,0.5,0.5,0.0,0.0,0.0,29.4,14.4,0.0,0.0,8.7,0.0,3.7,106.0,107.0,20200224
798,Courtney Lee,Dallas Mavericks,18:32,1,2,0.5,1,2,0.5,0,0,0.0,1,4,5,1,2,0,2,2,3,12,18:32,0.75,0.75,1.0,0.0,5.3,22.0,13.5,5.4,4.7,0.0,50.0,8.3,89.0,104.0,20200224
799,Justin Jackson,Dallas Mavericks,4:41,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,4,-6,4:41,0.667,0.667,0.0,0.0,0.0,21.8,10.7,33.6,0.0,0.0,0.0,24.5,147.0,115.0,20200224
800,Boban Marjanović,Dallas Mavericks,4:25,3,5,0.6,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,1,6,-8,4:25,0.6,0.6,0.4,0.0,0.0,23.1,11.3,0.0,0.0,0.0,16.7,52.0,90.0,114.0,20200224
801,Team Totals,Dallas Mavericks,240,51,101,0.505,16,44,0.364,21,28,0.75,14,40,54,28,7,3,12,28,139,0,240,0.613,0.584,0.436,0.277,28.6,85.1,56.3,54.9,6.4,5.7,9.6,100.0,126.3,111.8,20200224
802,Luka Dončić,Dallas Mavericks,37:09,10,25,0.4,3,11,0.273,3,4,0.75,1,9,10,14,1,0,7,5,26,14,37:09,0.486,0.46,0.44,0.16,2.7,22.8,13.2,78.4,1.2,0.0,20.7,38.2,96.0,101.0,20200226
803,Tim Hardaway Jr.,Dallas Mavericks,35:39,5,14,0.357,3,8,0.375,4,7,0.571,0,2,2,0,0,0,1,1,17,8,35:39,0.498,0.464,0.571,0.5,0.0,5.3,2.7,0.0,0.0,0.0,5.5,21.3,90.0,111.0,20200226
804,Dorian Finney-Smith,Dallas Mavericks,35:08,5,7,0.714,2,4,0.5,2,2,1.0,1,3,4,1,2,3,1,2,14,13,35:08,0.888,0.857,0.571,0.286,2.9,8.0,5.6,4.7,2.6,6.9,11.3,10.6,150.0,99.0,20200226
805,Seth Curry,Dallas Mavericks,34:52,2,8,0.25,2,4,0.5,1,2,0.5,0,3,3,2,2,0,0,2,7,22,34:52,0.394,0.375,0.5,0.25,0.0,8.1,4.2,8.3,2.7,0.0,0.0,10.7,87.0,103.0,20200226
806,Kristaps Porziņģis,Dallas Mavericks,29:19,8,14,0.571,4,8,0.5,8,10,0.8,1,11,12,1,2,3,2,4,28,16,29:19,0.761,0.714,0.571,0.714,3.5,35.3,20.0,7.1,3.2,8.3,9.8,29.2,131.0,87.0,20200226
807,Maxi Kleber,Dallas Mavericks,22:33,3,6,0.5,1,2,0.5,2,5,0.4,1,4,5,0,1,2,1,3,9,-13,22:33,0.549,0.583,0.333,0.833,4.5,16.7,10.9,0.0,2.1,7.2,10.9,17.1,97.0,97.0,20200226
808,Delon Wright,Dallas Mavericks,19:59,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,3,1,1,1,2,3,-10,19:59,0.5,0.5,0.667,0.0,0.0,0.0,0.0,21.4,2.3,4.1,25.0,8.4,99.0,104.0,20200226
809,Michael Kidd-Gilchrist,Dallas Mavericks,11:08,0,1,0.0,0,1,0.0,0,0,0.0,1,4,5,1,1,0,0,0,0,-10,11:08,0.0,0.0,1.0,0.0,9.2,33.8,22.0,12.0,4.2,0.0,0.0,3.8,97.0,91.0,20200226
810,J.J. Barea,Dallas Mavericks,9:37,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,2,1,0,2,1,5,-6,9:37,0.5,0.5,0.6,0.0,0.0,9.8,5.1,38.4,4.8,0.0,28.6,30.6,78.0,98.0,20200226
811,Courtney Lee,Dallas Mavericks,4:36,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,-4,4:36,0.0,0.0,0.667,0.0,0.0,20.5,10.6,29.0,0.0,0.0,0.0,27.4,22.0,105.0,20200226
812,Boban Marjanović,Dallas Mavericks,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20200226
