,Starters,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP.1,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,Date
24,Gary Trent Jr.,Portland Trail Blazers,2:03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,2:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,20191025
25,Team Totals,Portland Trail Blazers,240,46,85,0.541,11,30,0.367,19,22,0.864,5,35,40,23,8,5,16,23,122,0,240,0.644,0.606,0.353,0.259,14.3,72.9,48.2,50.0,7.8,10.0,14.5,100.0,119.5,109.7,20191025
26,CJ McCollum,Portland Trail Blazers,40:59,13,26,0.5,1,4,0.25,8,8,1.0,0,6,6,4,2,0,2,3,35,12,40:59,0.593,0.519,0.154,0.308,0.0,13.3,7.5,15.7,2.2,0.0,6.3,32.3,120.0,111.0,20191027
27,Damian Lillard,Portland Trail Blazers,38:24,10,20,0.5,1,7,0.143,7,9,0.778,0,3,3,5,1,1,2,3,28,-1,38:24,0.584,0.525,0.35,0.45,0.0,7.1,4.0,19.2,1.2,2.8,7.7,28.4,119.0,114.0,20191027
28,Rodney Hood,Portland Trail Blazers,31:41,8,12,0.667,3,3,1.0,1,2,0.5,2,4,6,0,2,1,2,3,20,-9,31:41,0.776,0.792,0.25,0.167,7.4,11.4,9.7,0.0,2.8,3.4,13.4,19.7,136.0,109.0,20191027
29,Hassan Whiteside,Portland Trail Blazers,25:41,2,4,0.5,0,0,0.0,2,2,1.0,2,12,14,0,0,1,3,6,6,-4,25:41,0.615,0.5,0.0,0.5,9.1,42.3,27.8,0.0,0.0,4.2,38.1,12.9,90.0,103.0,20191027
30,Zach Collins,Portland Trail Blazers,24:02,3,5,0.6,2,3,0.667,2,2,1.0,0,3,3,1,0,0,2,4,10,10,24:02,0.85,0.8,0.6,0.4,0.0,11.3,6.4,5.1,0.0,0.0,25.4,13.8,128.0,116.0,20191027
31,Kent Bazemore,Portland Trail Blazers,30:25,4,8,0.5,1,2,0.5,2,3,0.667,0,5,5,1,0,0,3,4,11,2,30:25,0.59,0.563,0.25,0.375,0.0,14.9,8.4,4.1,0.0,0.0,24.4,17.0,92.0,115.0,20191027
32,Mario Hezonja,Portland Trail Blazers,24:51,2,7,0.286,0,1,0.0,0,0,0.0,1,7,8,2,1,1,0,3,4,6,24:51,0.286,0.286,0.143,0.0,4.7,25.5,16.4,9.4,1.8,4.4,0.0,11.8,84.0,105.0,20191027
33,Anfernee Simons,Portland Trail Blazers,15:04,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,0,0,1,1,3,2,15:04,0.75,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,8.4,95.0,121.0,20191027
34,Skal Labissière,Portland Trail Blazers,5:34,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,2,4,7,5:34,0.667,0.667,0.0,0.0,42.1,16.3,27.5,0.0,0.0,0.0,0.0,22.6,154.0,114.0,20191027
35,Anthony Tolliver,Portland Trail Blazers,3:19,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-15,3:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.6,0.0,120.0,20191027
36,Gary Trent Jr.,Portland Trail Blazers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191027
37,Nassir Little,Portland Trail Blazers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191027
38,Team Totals,Portland Trail Blazers,240,45,87,0.517,9,22,0.409,22,26,0.846,7,41,48,13,6,4,16,30,121,0,240,0.615,0.569,0.253,0.299,17.1,77.4,51.1,28.9,5.6,9.1,14.0,100.0,113.4,111.6,20191027
39,Damian Lillard,Portland Trail Blazers,38:48,9,28,0.321,3,10,0.3,7,8,0.875,0,9,9,7,0,2,1,3,28,4,38:48,0.444,0.375,0.357,0.286,0.0,23.7,11.2,31.1,0.0,3.9,3.1,33.0,98.0,103.0,20191028
40,CJ McCollum,Portland Trail Blazers,37:33,10,22,0.455,3,6,0.5,4,5,0.8,0,3,3,5,0,0,1,5,27,3,37:33,0.558,0.523,0.273,0.227,0.0,8.2,3.9,24.4,0.0,0.0,4.0,26.4,115.0,108.0,20191028
41,Rodney Hood,Portland Trail Blazers,33:38,3,7,0.429,1,4,0.25,4,4,1.0,0,3,3,0,1,1,1,2,11,2,33:38,0.628,0.5,0.571,0.571,0.0,9.1,4.3,0.0,1.3,2.3,10.2,11.4,115.0,104.0,20191028
42,Anthony Tolliver,Portland Trail Blazers,28:52,1,4,0.25,1,4,0.25,2,2,1.0,0,10,10,3,1,0,0,1,5,8,28:52,0.512,0.375,1.0,0.5,0.0,35.4,16.8,13.4,1.5,0.0,0.0,6.7,125.0,101.0,20191028
43,Hassan Whiteside,Portland Trail Blazers,24:05,4,9,0.444,0,0,0.0,0,0,0.0,1,6,7,1,0,0,2,3,8,1,24:05,0.444,0.444,0.0,0.0,3.8,25.4,14.1,6.4,0.0,0.0,18.2,18.0,79.0,106.0,20191028
44,Kent Bazemore,Portland Trail Blazers,24:09,1,9,0.111,0,3,0.0,1,2,0.5,1,2,3,1,0,3,2,6,3,-20,24:09,0.152,0.111,0.333,0.222,3.8,8.5,6.0,5.4,0.0,9.5,16.8,19.4,37.0,100.0,20191028
45,Anfernee Simons,Portland Trail Blazers,21:01,5,9,0.556,0,1,0.0,0,0,0.0,1,1,2,1,1,0,2,2,10,4,21:01,0.556,0.556,0.111,0.0,4.4,4.9,4.6,8.3,2.1,0.0,18.2,20.6,93.0,105.0,20191028
46,Mario Hezonja,Portland Trail Blazers,18:59,2,7,0.286,2,5,0.4,2,2,1.0,0,6,6,1,1,1,0,2,8,-11,18:59,0.508,0.429,0.714,0.286,0.0,32.3,15.3,7.4,2.3,4.0,0.0,16.3,110.0,97.0,20191028
47,Skal Labissière,Portland Trail Blazers,12:55,4,5,0.8,0,0,0.0,2,4,0.5,6,0,6,0,0,1,1,3,10,-6,12:55,0.74,0.8,0.0,0.8,42.9,0.0,22.5,0.0,0.0,5.9,12.9,23.7,145.0,104.0,20191028
48,Nassir Little,Portland Trail Blazers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191028
49,Gary Trent Jr.,Portland Trail Blazers,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20191028
50,Team Totals,Portland Trail Blazers,240,39,100,0.39,10,33,0.303,22,27,0.815,9,40,49,19,4,8,10,27,110,0,240,0.492,0.44,0.33,0.27,17.3,85.1,49.5,48.7,3.7,12.7,8.2,100.0,100.8,103.5,20191028
51,Damian Lillard,Portland Trail Blazers,38:12,7,19,0.368,4,9,0.444,5,6,0.833,1,6,7,13,2,0,1,2,23,9,38:12,0.531,0.474,0.474,0.316,2.5,14.2,8.5,64.8,2.4,0.0,4.4,25.1,129.0,96.0,20191030
